IP:PORT, LOSS, DELAY
188.114.97.133:908,0.00%,138 ms
188.114.96.134:908,0.00%,142 ms
188.114.97.84:908,0.00%,142 ms
188.114.98.89:878,0.00%,143 ms
162.159.192.29:908,0.00%,145 ms
188.114.98.61:878,0.00%,146 ms
162.159.192.8:878,0.00%,147 ms
188.114.97.237:878,0.00%,147 ms
162.159.192.60:908,0.00%,147 ms
188.114.96.134:878,0.00%,148 ms
162.159.195.30:878,0.00%,149 ms
188.114.96.249:908,0.00%,151 ms
162.159.195.167:878,0.00%,151 ms
162.159.192.151:878,0.00%,151 ms
162.159.195.83:878,0.00%,152 ms
162.159.192.151:908,0.00%,152 ms
188.114.96.240:908,0.00%,152 ms
162.159.195.139:878,0.00%,153 ms
188.114.96.202:878,0.00%,153 ms
188.114.97.84:878,0.00%,154 ms
188.114.97.237:908,0.00%,154 ms
162.159.195.237:878,0.00%,154 ms
188.114.98.232:908,0.00%,154 ms
162.159.195.51:878,0.00%,156 ms
188.114.96.141:878,0.00%,156 ms
188.114.96.202:908,0.00%,156 ms
162.159.192.134:908,0.00%,156 ms
188.114.98.35:908,0.00%,157 ms
188.114.99.9:878,0.00%,157 ms
162.159.195.83:908,0.00%,157 ms
162.159.195.122:908,0.00%,158 ms
188.114.98.56:878,0.00%,158 ms
188.114.98.138:908,0.00%,158 ms
162.159.192.208:908,0.00%,159 ms
162.159.195.51:908,0.00%,159 ms
162.159.192.190:908,0.00%,161 ms
188.114.96.141:908,0.00%,161 ms
162.159.195.146:878,0.00%,162 ms
162.159.192.215:908,0.00%,162 ms
188.114.97.33:908,0.00%,162 ms
188.114.99.52:878,0.00%,162 ms
188.114.97.30:878,0.00%,162 ms
162.159.195.122:878,0.00%,162 ms
162.159.195.164:878,0.00%,163 ms
188.114.96.243:878,0.00%,163 ms
162.159.192.23:908,0.00%,163 ms
188.114.99.104:908,0.00%,163 ms
162.159.192.208:878,0.00%,163 ms
162.159.192.66:878,0.00%,163 ms
188.114.98.147:908,0.00%,164 ms
188.114.96.190:878,0.00%,164 ms
188.114.99.119:878,0.00%,164 ms
162.159.192.253:878,0.00%,164 ms
188.114.97.69:878,0.00%,164 ms
188.114.97.176:878,0.00%,165 ms
188.114.98.95:878,0.00%,165 ms
188.114.97.145:878,0.00%,165 ms
162.159.192.23:878,0.00%,165 ms
188.114.97.146:878,0.00%,166 ms
188.114.96.247:908,0.00%,166 ms
162.159.195.167:908,0.00%,166 ms
188.114.97.30:908,0.00%,167 ms
188.114.99.14:878,0.00%,167 ms
188.114.97.153:908,0.00%,167 ms
188.114.98.127:908,0.00%,167 ms
188.114.97.146:908,0.00%,168 ms
188.114.97.133:878,0.00%,168 ms
162.159.192.60:878,0.00%,168 ms
162.159.195.139:908,0.00%,168 ms
162.159.195.237:908,0.00%,168 ms
162.159.192.29:878,0.00%,168 ms
188.114.96.191:908,0.00%,168 ms
188.114.98.88:878,0.00%,168 ms
162.159.192.70:908,0.00%,169 ms
162.159.195.11:878,0.00%,169 ms
188.114.97.25:878,0.00%,169 ms
188.114.96.190:908,0.00%,169 ms
162.159.195.146:908,0.00%,169 ms
188.114.96.175:908,0.00%,169 ms
188.114.96.191:878,0.00%,169 ms
162.159.195.129:908,0.00%,169 ms
188.114.97.25:908,0.00%,169 ms
162.159.192.31:908,0.00%,170 ms
162.159.195.129:878,0.00%,170 ms
188.114.96.249:878,0.00%,170 ms
162.159.192.134:878,0.00%,171 ms
162.159.192.41:878,0.00%,171 ms
162.159.195.215:908,0.00%,171 ms
162.159.195.164:908,0.00%,171 ms
188.114.96.175:878,0.00%,171 ms
188.114.97.145:908,0.00%,171 ms
188.114.99.251:878,0.00%,172 ms
188.114.96.119:878,0.00%,172 ms
188.114.98.88:908,0.00%,173 ms
188.114.99.9:908,0.00%,173 ms
162.159.192.41:908,0.00%,173 ms
162.159.195.178:878,0.00%,173 ms
162.159.192.253:908,0.00%,173 ms
188.114.97.86:908,0.00%,173 ms
162.159.195.11:908,0.00%,173 ms
188.114.97.153:878,0.00%,174 ms
188.114.99.104:878,0.00%,174 ms
188.114.98.56:908,0.00%,174 ms
162.159.195.178:908,0.00%,174 ms
162.159.195.124:878,0.00%,175 ms
188.114.96.119:908,0.00%,175 ms
162.159.195.144:908,0.00%,175 ms
188.114.99.251:908,0.00%,175 ms
188.114.99.112:908,0.00%,176 ms
188.114.99.106:878,0.00%,176 ms
188.114.99.42:908,0.00%,176 ms
188.114.96.247:878,0.00%,177 ms
188.114.99.119:908,0.00%,177 ms
188.114.97.33:878,0.00%,177 ms
162.159.192.215:878,0.00%,177 ms
162.159.192.8:908,0.00%,177 ms
188.114.99.140:908,0.00%,178 ms
188.114.97.69:908,0.00%,178 ms
188.114.97.176:908,0.00%,178 ms
162.159.195.124:908,0.00%,178 ms
188.114.99.106:908,0.00%,179 ms
188.114.97.86:878,0.00%,179 ms
188.114.99.140:878,0.00%,179 ms
188.114.96.113:908,0.00%,179 ms
188.114.97.61:908,0.00%,180 ms
188.114.96.113:878,0.00%,180 ms
188.114.99.250:908,0.00%,180 ms
188.114.97.232:908,0.00%,180 ms
188.114.98.232:878,0.00%,181 ms
188.114.98.44:878,0.00%,182 ms
162.159.195.215:878,0.00%,182 ms
188.114.98.89:908,0.00%,182 ms
188.114.98.147:878,0.00%,182 ms
188.114.96.80:908,0.00%,183 ms
188.114.97.232:878,0.00%,183 ms
188.114.99.165:908,0.00%,183 ms
188.114.98.63:878,0.00%,184 ms
188.114.98.95:908,0.00%,184 ms
188.114.98.195:878,0.00%,184 ms
162.159.195.144:878,0.00%,184 ms
188.114.99.95:908,0.00%,185 ms
188.114.99.112:878,0.00%,185 ms
188.114.99.14:908,0.00%,185 ms
188.114.98.195:908,0.00%,185 ms
188.114.99.165:878,0.00%,186 ms
188.114.99.247:908,0.00%,186 ms
188.114.97.61:878,0.00%,186 ms
188.114.98.63:908,0.00%,186 ms
188.114.99.250:878,0.00%,186 ms
188.114.98.44:908,0.00%,187 ms
188.114.98.35:878,0.00%,187 ms
188.114.98.128:878,0.00%,187 ms
162.159.195.30:908,0.00%,188 ms
188.114.98.138:878,0.00%,189 ms
188.114.98.127:878,0.00%,189 ms
188.114.99.42:878,0.00%,190 ms
162.159.192.70:878,0.00%,190 ms
188.114.98.61:908,0.00%,190 ms
188.114.98.10:908,0.00%,193 ms
188.114.98.10:878,0.00%,193 ms
188.114.98.234:878,0.00%,194 ms
188.114.98.234:908,0.00%,194 ms
188.114.98.128:908,0.00%,195 ms
162.159.192.190:878,0.00%,195 ms
188.114.99.95:878,0.00%,200 ms
188.114.99.247:878,0.00%,204 ms
162.159.192.31:878,0.00%,204 ms
188.114.96.243:908,0.00%,205 ms
188.114.96.80:878,10.00%,242 ms
162.159.192.66:908,10.00%,247 ms
188.114.96.240:878,10.00%,264 ms
188.114.99.52:908,20.00%,318 ms
162.159.193.108:878,100.00%,1000 ms
162.159.193.96:908,100.00%,1000 ms
162.159.193.51:878,100.00%,1000 ms
162.159.193.125:878,100.00%,1000 ms
162.159.193.108:908,100.00%,1000 ms
162.159.193.241:878,100.00%,1000 ms
162.159.193.69:878,100.00%,1000 ms
162.159.193.210:908,100.00%,1000 ms
162.159.193.69:908,100.00%,1000 ms
162.159.193.157:908,100.00%,1000 ms
162.159.193.83:908,100.00%,1000 ms
162.159.193.14:878,100.00%,1000 ms
162.159.193.157:878,100.00%,1000 ms
162.159.193.125:908,100.00%,1000 ms
162.159.193.167:908,100.00%,1000 ms
162.159.193.135:878,100.00%,1000 ms
162.159.193.171:878,100.00%,1000 ms
162.159.193.237:908,100.00%,1000 ms
162.159.193.210:878,100.00%,1000 ms
162.159.193.83:878,100.00%,1000 ms
162.159.193.237:878,100.00%,1000 ms
162.159.193.96:878,100.00%,1000 ms
162.159.193.167:878,100.00%,1000 ms
162.159.193.51:908,100.00%,1000 ms
162.159.193.241:908,100.00%,1000 ms
162.159.193.135:908,100.00%,1000 ms
162.159.193.14:908,100.00%,1000 ms
162.159.193.171:908,100.00%,1000 ms
